CPA,LAA,cpa_code
Cheshire & Greater Manchester,Bolton,6
Cheshire & Greater Manchester,Bury,6
Cheshire & Greater Manchester,Manchester,6
Cheshire & Greater Manchester,Oldham,6
Cheshire & Greater Manchester,Rochdale,6
Cheshire & Greater Manchester,Salford,6
Cheshire & Greater Manchester,Stockport,6
Cheshire & Greater Manchester,Tameside,6
Cheshire & Greater Manchester,Trafford,6
Cheshire & Greater Manchester,Wigan,6
Cheshire & Greater Manchester,Cheshire East,6
Cheshire & Greater Manchester,Cheshire West and Chester,6
Cheshire & Greater Manchester,Halton,6
Cheshire & Greater Manchester,Warrington,6
Cumbria and Lancashire,Cumbria,2
Cumbria and Lancashire,Lancashire,2
Cumbria and Lancashire,Blackburn with Darwen,2
Cumbria and Lancashire,Blackpool,2
"Derbyshire, Nottinghamshire & Leicestershire",Derbyshire,10
"Derbyshire, Nottinghamshire & Leicestershire",Nottinghamshire,10
"Derbyshire, Nottinghamshire & Leicestershire",Leicestershire,10
"Derbyshire, Nottinghamshire & Leicestershire",Derby,10
"Derbyshire, Nottinghamshire & Leicestershire",Leicester,10
"Derbyshire, Nottinghamshire & Leicestershire",Nottingham,10
"Derbyshire, Nottinghamshire & Leicestershire",Rutland,10
"Dorset, Devon & Cornwall",Bournemouth,14
"Dorset, Devon & Cornwall",Cornwall,14
"Dorset, Devon & Cornwall",Isles of Scilly,14
"Dorset, Devon & Cornwall",Plymouth,14
"Dorset, Devon & Cornwall",Poole,14
"Dorset, Devon & Cornwall",Torbay,14
"Dorset, Devon & Cornwall",Devon,14
"Dorset, Devon & Cornwall",Dorset,14
Durham & Cleveland,County Durham,3
Durham & Cleveland,Darlington,3
Durham & Cleveland,Middlesbrough,3
Durham & Cleveland,Redcar and Cleveland,3
Durham & Cleveland,Stockton-on-Tees,3
Durham & Cleveland,Hartlepool,3
Essex,Essex,19
Essex,Southend-on-Sea,19
Essex,Thurrock,19
"Gloucestershire, Avon & Somerset, Wiltshire",Gloucestershire,13
"Gloucestershire, Avon & Somerset, Wiltshire",Wiltshire,13
"Gloucestershire, Avon & Somerset, Wiltshire",Swindon,13
"Gloucestershire, Avon & Somerset, Wiltshire","Bristol, City of",13
"Gloucestershire, Avon & Somerset, Wiltshire",Bath and North East Somerset,13
"Gloucestershire, Avon & Somerset, Wiltshire",North Somerset,13
"Gloucestershire, Avon & Somerset, Wiltshire",South Gloucestershire,13
"Gloucestershire, Avon & Somerset, Wiltshire",Somerset,13
Hampshire,Hampshire,15
Hampshire,Isle of Wight,15
Hampshire,Portsmouth,15
Hampshire,Southampton,15
"Kent, Surrey & Sussex",Kent,21
"Kent, Surrey & Sussex",Surrey,21
"Kent, Surrey & Sussex",East Sussex,21
"Kent, Surrey & Sussex",West Sussex,21
"Kent, Surrey & Sussex",Brighton and Hove,21
"Kent, Surrey & Sussex",Medway,21
London,Camden,20
London,City of London,20
London,Hackney,20
London,Hammersmith and Fulham,20
London,Haringey,20
London,Islington,20
London,Kensington and Chelsea,20
London,Lambeth,20
London,Lewisham,20
London,Newham,20
London,Southwark,20
London,Tower Hamlets,20
London,Wandsworth,20
London,Westminster,20
London,Barking and Dagenham,20
London,Barnet,20
London,Bexley,20
London,Brent,20
London,Bromley,20
London,Croydon,20
London,Ealing,20
London,Enfield,20
London,Greenwich,20
London,Harrow,20
London,Havering,20
London,Hillingdon,20
London,Hounslow,20
London,Kingston upon Thames,20
London,Merton,20
London,Redbridge,20
London,Richmond upon Thames,20
London,Sutton,20
London,Waltham Forest,20
Merseyside,Knowsley,7
Merseyside,Liverpool,7
Merseyside,Sefton,7
Merseyside,St. Helens,7
Merseyside,Wirral,7
Norfolk & Suffolk,Norfolk,18
Norfolk & Suffolk,Suffolk,18
"North Yorkshire, Humberside & Lincolnshire",North Yorkshire,4
"North Yorkshire, Humberside & Lincolnshire",East Riding of Yorkshire,4
"North Yorkshire, Humberside & Lincolnshire","Kingston upon Hull, City of",4
"North Yorkshire, Humberside & Lincolnshire",North East Lincolnshire,4
"North Yorkshire, Humberside & Lincolnshire",North Lincolnshire,4
"North Yorkshire, Humberside & Lincolnshire",York,4
"North Yorkshire, Humberside & Lincolnshire",Lincolnshire,4
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire",Cambridgeshire,17
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire",Northamptonshire,17
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire",Hertfordshire,17
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire",Bedford,17
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire",Central Bedfordshire,17
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire",Luton,17
"Northamptonshire, Bedfordshire, Hertfordshire and Cambridgeshire",Peterborough,17
Northumbria,Northumberland,1
Northumbria,Gateshead,1
Northumbria,Newcastle upon Tyne,1
Northumbria,North Tyneside,1
Northumbria,South Tyneside,1
Northumbria,Sunderland,1
South Yorkshire,Barnsley,8
South Yorkshire,Doncaster,8
South Yorkshire,Rotherham,8
South Yorkshire,Sheffield,8
Staffordshire & West Midlands,Staffordshire,9
Staffordshire & West Midlands,Stoke-on-Trent,9
Staffordshire & West Midlands,Birmingham,9
Staffordshire & West Midlands,Coventry,9
Staffordshire & West Midlands,Dudley,9
Staffordshire & West Midlands,Sandwell,9
Staffordshire & West Midlands,Solihull,9
Staffordshire & West Midlands,Walsall,9
Staffordshire & West Midlands,Wolverhampton,9
Thames Valley,Milton Keynes,16
Thames Valley,Oxfordshire,16
Thames Valley,Bracknell Forest,16
Thames Valley,Buckinghamshire,16
Thames Valley,Reading,16
Thames Valley,Slough,16
Thames Valley,West Berkshire,16
Thames Valley,Windsor and Maidenhead,16
Thames Valley,Wokingham,16
Wales,Isle of Anglesey,11
Wales,Gwynedd,11
Wales,Conwy,11
Wales,Denbighshire,11
Wales,Flintshire,11
Wales,Wrexham,11
Wales,Powys,11
Wales,Ceredigion,11
Wales,Pembrokeshire,11
Wales,Carmarthenshire,11
Wales,Swansea,11
Wales,Neath Port Talbot,11
Wales,Bridgend,11
Wales,Vale of Glamorgan,11
Wales,Cardiff,11
Wales,Rhondda Cynon Taf,11
Wales,Merthyr Tydfil,11
Wales,Caerphilly,11
Wales,Blaenau Gwent,11
Wales,Torfaen,11
Wales,Monmouthshire,11
Wales,Newport,11
West Mercia & Warwickshire,Worcestershire,12
West Mercia & Warwickshire,Warwickshire,12
West Mercia & Warwickshire,"Herefordshire, County of",12
West Mercia & Warwickshire,Shropshire,12
West Mercia & Warwickshire,Telford and Wrekin,12
West Yorkshire,Bradford,5
West Yorkshire,Calderdale,5
West Yorkshire,Kirklees,5
West Yorkshire,Leeds,5
West Yorkshire,Wakefield,5
